timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1622487970803,9653,HTTP Request,200,OK,oracleADW 1-48,text,true,,15059,228,100,100,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,9379,0,3651
1622487970821,9846,HTTP Request,200,OK,oracleADW 1-19,text,true,,15059,228,99,99,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,9564,0,3672
1622487970821,9859,HTTP Request,200,OK,oracleADW 1-74,text,true,,15059,228,98,98,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,9583,0,3651
1622487970815,9927,HTTP Request,200,OK,oracleADW 1-56,text,true,,15059,228,97,97,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,9652,0,3689
1622487970803,9950,HTTP Request,200,OK,oracleADW 1-15,text,true,,15059,228,96,96,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,9666,0,3672
1622487970808,10023,HTTP Request,200,OK,oracleADW 1-4,text,true,,15059,228,95,95,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,9748,0,3663
1622487970810,10043,HTTP Request,200,OK,oracleADW 1-32,text,true,,15059,228,94,94,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,9765,0,3683
1622487970807,10048,HTTP Request,200,OK,oracleADW 1-42,text,true,,15059,228,93,93,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,9759,0,3749
1622487970802,10140,HTTP Request,200,OK,oracleADW 1-53,text,true,,15059,228,92,92,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,9862,0,3735
1622487970811,10132,HTTP Request,200,OK,oracleADW 1-26,text,true,,15059,228,91,91,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,9855,0,3689
1622487970797,10151,HTTP Request,200,OK,oracleADW 1-60,text,true,,15059,228,90,90,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,9875,0,3703
1622487970803,10250,HTTP Request,200,OK,oracleADW 1-84,text,true,,15059,228,89,89,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,9967,0,3655
1622487970807,10362,HTTP Request,200,OK,oracleADW 1-5,text,true,,15059,228,88,88,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,10084,0,3666
1622487970807,10364,HTTP Request,200,OK,oracleADW 1-31,text,true,,15059,228,87,87,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,10087,0,3763
1622487970816,10360,HTTP Request,200,OK,oracleADW 1-82,text,true,,15059,228,86,86,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,10081,0,3654
1622487970817,10371,HTTP Request,200,OK,oracleADW 1-44,text,true,,15059,228,85,85,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,10086,0,3668
1622487970811,10381,HTTP Request,200,OK,oracleADW 1-43,text,true,,15059,228,84,84,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,10101,0,3660
1622487970807,10431,HTTP Request,200,OK,oracleADW 1-85,text,true,,15059,228,83,83,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,10150,0,3710
1622487970799,10567,HTTP Request,200,OK,oracleADW 1-2,text,true,,15059,228,82,82,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,10286,0,3674
1622487970813,10654,HTTP Request,200,OK,oracleADW 1-70,text,true,,15059,228,81,81,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,10374,0,3659
1622487970804,10669,HTTP Request,200,OK,oracleADW 1-99,text,true,,15059,228,80,80,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,10386,0,3774
1622487970818,10751,HTTP Request,200,OK,oracleADW 1-55,text,true,,15059,228,79,79,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,10468,0,3759
1622487970810,10759,HTTP Request,200,OK,oracleADW 1-94,text,true,,15059,228,79,79,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,10482,0,3661
