timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1622488272893,6894,HTTP Request,200,OK,oracleADW 1-85,text,true,,15059,228,100,100,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,6625,0,3560
1622488272858,7091,HTTP Request,200,OK,oracleADW 1-26,text,true,,15059,228,99,99,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,6817,0,3595
1622488272883,7217,HTTP Request,200,OK,oracleADW 1-38,text,true,,15059,228,98,98,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,6942,0,3567
1622488272891,7222,HTTP Request,200,OK,oracleADW 1-71,text,true,,15059,228,97,97,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,6942,0,3574
1622488272888,7232,HTTP Request,200,OK,oracleADW 1-39,text,true,,15059,228,96,96,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,6956,0,3561
1622488272893,7231,HTTP Request,200,OK,oracleADW 1-83,text,true,,15059,228,95,95,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,6953,0,3569
1622488272879,7245,HTTP Request,200,OK,oracleADW 1-97,text,true,,15059,228,95,95,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,6957,0,3592
1622488272888,7347,HTTP Request,200,OK,oracleADW 1-35,text,true,,15059,228,93,93,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,7060,0,3574
1622488272893,7369,HTTP Request,200,OK,oracleADW 1-33,text,true,,15059,228,92,92,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,7093,0,3569
1622488272893,7373,HTTP Request,200,OK,oracleADW 1-30,text,true,,15059,228,91,91,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,7090,0,3586
1622488272859,7409,HTTP Request,200,OK,oracleADW 1-65,text,true,,15059,228,90,90,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,7129,0,3602
1622488272865,7406,HTTP Request,200,OK,oracleADW 1-4,text,true,,15059,228,89,89,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,7128,0,3599
1622488272858,7568,HTTP Request,200,OK,oracleADW 1-55,text,true,,15059,228,88,88,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,7293,0,3614
1622488272880,7556,HTTP Request,200,OK,oracleADW 1-78,text,true,,15059,228,87,87,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,7279,0,3570
1622488272858,7585,HTTP Request,200,OK,oracleADW 1-96,text,true,,15059,228,86,86,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,7305,0,3606
1622488272882,7651,HTTP Request,200,OK,oracleADW 1-75,text,true,,15059,228,85,85,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,7375,0,3584
1622488272894,7655,HTTP Request,200,OK,oracleADW 1-27,text,true,,15059,228,84,84,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,7379,0,3570
1622488272881,7670,HTTP Request,200,OK,oracleADW 1-18,text,true,,15059,228,83,83,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,7396,0,3573
