timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1622487378185,15563,HTTP Request,200,OK,oracleADW 1-83,text,true,,15059,228,100,100,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,15295,0,3356
1622487378185,15569,HTTP Request,200,OK,oracleADW 1-63,text,true,,15059,228,100,100,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,15295,0,3387
1622487378170,15776,HTTP Request,200,OK,oracleADW 1-33,text,true,,15059,228,98,98,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,15493,0,3367
1622487378174,15776,HTTP Request,200,OK,oracleADW 1-16,text,true,,15059,228,97,97,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,15491,0,3404
1622487378164,15797,HTTP Request,200,OK,oracleADW 1-56,text,true,,15059,228,96,96,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,15511,0,3423
1622487378185,16066,HTTP Request,200,OK,oracleADW 1-58,text,true,,15059,228,95,95,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,15789,0,3384
1622487378170,16168,HTTP Request,200,OK,oracleADW 1-11,text,true,,15059,228,94,94,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,15890,0,3350
1622487378167,16293,HTTP Request,200,OK,oracleADW 1-49,text,true,,15059,228,93,93,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,16007,0,3454
1622487378170,16292,HTTP Request,200,OK,oracleADW 1-50,text,true,,15059,228,92,92,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,16006,0,3369
1622487378186,16467,HTTP Request,200,OK,oracleADW 1-74,text,true,,15059,228,91,91,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,16191,0,3385
1622487378168,16593,HTTP Request,200,OK,oracleADW 1-75,text,true,,15059,228,90,90,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,16322,0,3399
1622487378166,16606,HTTP Request,200,OK,oracleADW 1-18,text,true,,15059,228,89,89,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,16331,0,3490
1622487378157,16699,HTTP Request,200,OK,oracleADW 1-57,text,true,,15059,228,88,88,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,16422,0,3365
1622487378161,16795,HTTP Request,200,OK,oracleADW 1-93,text,true,,15059,228,87,87,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,16516,0,3361
1622487378186,16868,HTTP Request,200,OK,oracleADW 1-96,text,true,,15059,228,86,86,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,16592,0,3365
1622487378179,16884,HTTP Request,200,OK,oracleADW 1-17,text,true,,15059,228,85,85,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,16606,0,3386
1622487378168,17011,HTTP Request,200,OK,oracleADW 1-20,text,true,,15059,228,84,84,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,16731,0,3409
1622487378174,17117,HTTP Request,200,OK,oracleADW 1-44,text,true,,15059,228,83,83,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,16835,0,3368
1622487378167,17312,HTTP Request,200,OK,oracleADW 1-60,text,true,,15059,228,82,82,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,17034,0,3370
1622487378182,17302,HTTP Request,200,OK,oracleADW 1-21,text,true,,15059,228,81,81,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,17021,0,3391
1622487378177,17314,HTTP Request,200,OK,oracleADW 1-24,text,true,,15059,228,80,80,https://g710506a63ec50c-demodb.adb.us-ashburn-1.oraclecloudapps.com/ords/root/may2018/,17030,0,3418
